model,family,split,donor,pearson_delta,e_distance,aucell_program_corr,n_test,n_strata,n_response_genes,leak_free,cluster,dataset,modality,registry_task,seed,ran,headline_eligible
donor-shift,simple,C2_soskic_LODO_D459,D459,0.0607,6.1666,-0.0258,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D459,D459,0.0328,6.1668,-0.0296,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D459,D459,0.1983,6.0684,-0.0296,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D460,D460,0.3374,4.7416,-0.0728,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D460,D460,-0.0676,4.7744,-0.0165,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D460,D460,-0.0288,4.7854,-0.0165,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D460,D460,-0.0591,4.7842,-0.0165,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D460,D460,0.142,4.8623,-0.0435,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D461,D461,0.3296,5.1159,-0.0706,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D461,D461,0.015,5.1119,-0.0243,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D461,D461,-0.0695,5.1285,-0.0243,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D461,D461,-0.0353,5.1288,-0.0243,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D461,D461,0.2051,5.2908,-0.0445,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D462,D462,0.2765,5.5349,-0.0494,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D462,D462,-0.0057,5.5322,-0.0235,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D462,D462,0.0793,5.5054,-0.0235,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D462,D462,0.0915,5.5058,-0.0235,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D462,D462,0.1799,5.5556,-0.0235,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D463,D463,0.4593,5.2774,-0.0652,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D463,D463,0.2777,5.2605,-0.0247,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D463,D463,0.0558,5.24,-0.0247,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D463,D463,0.089,5.242,-0.0247,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D463,D463,0.4187,5.2869,-0.0247,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D464,D464,0.4693,4.9748,-0.0736,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D464,D464,0.037,5.0832,-0.0238,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D464,D464,0.0624,5.0639,-0.0238,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D464,D464,0.0829,5.0658,-0.0238,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D464,D464,0.3574,4.9846,-0.0188,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D465,D465,0.3868,5.3275,-0.0638,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D465,D465,0.0193,5.3035,-0.0233,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D465,D465,0.0624,5.2996,-0.0233,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D465,D465,0.0653,5.3015,-0.0233,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D465,D465,0.3053,5.3496,-0.0946,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D466,D466,0.3144,5.3133,-0.0629,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D466,D466,-0.0159,5.2733,-0.0194,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D466,D466,0.0282,5.2577,-0.0194,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D466,D466,0.0996,5.2571,-0.0194,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D466,D466,0.1991,5.389,-0.0194,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D481,D481,0.2954,5.0404,-0.0771,600.0,2.0,69.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D481,D481,-0.0283,5.0662,-0.0223,600.0,2.0,69.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D481,D481,0.0561,5.0479,-0.0223,600.0,2.0,69.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D481,D481,0.1075,5.0467,-0.0223,600.0,2.0,69.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D481,D481,0.201,5.0165,-0.0858,600.0,2.0,69.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D482,D482,0.3165,5.1178,-0.0258,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D482,D482,-0.0845,5.1392,-0.0307,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D482,D482,-0.0188,5.1328,-0.0307,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D482,D482,0.009,5.1341,-0.0307,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D482,D482,0.1816,5.1113,-0.0856,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D483,D483,0.2959,5.1339,-0.0711,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D483,D483,0.0655,5.1867,-0.0973,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D483,D483,-0.0361,5.1726,-0.099,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D483,D483,-0.0162,5.171,-0.099,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D483,D483,0.1369,5.1525,-0.0815,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D484,D484,0.2285,5.438,-0.065,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D484,D484,0.0088,5.5729,-0.0331,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D484,D484,0.0613,5.5458,-0.0193,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D484,D484,0.0935,5.5444,-0.0266,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D484,D484,0.1104,5.4627,-0.0331,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D485,D485,0.2246,5.5278,-0.0692,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D485,D485,-0.027,5.5845,-0.0285,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D485,D485,0.0258,5.5686,-0.0232,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D485,D485,0.0285,5.5695,-0.0258,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D485,D485,0.1315,5.5988,-0.0257,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
CellOT,ot,C2_soskic_LODO_D348,D348,0.2707,0.6281,-0.0118,600.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D349,D349,0.3459,0.5613,-0.0163,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D350,D350,0.3797,0.6929,-0.0149,555.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D351,D351,0.3887,0.5219,-0.0154,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D352,D352,0.3673,0.6839,-0.0259,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D353,D353,0.4524,0.576,-0.0139,583.0,2.0,84.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D354,D354,0.327,0.6144,-0.0187,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D355,D355,0.2952,0.603,-0.0144,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D356,D356,0.3377,0.5473,-0.014,541.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D357,D357,0.3638,0.4195,-0.0156,460.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D358,D358,0.4419,0.4267,-0.0138,538.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D359,D359,0.4173,0.5116,-0.0133,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D363,D363,0.3818,0.3788,-0.0147,572.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D364,D364,0.3121,0.5688,-0.0203,484.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D365,D365,0.4052,0.5576,-0.0206,549.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D366,D366,0.4268,0.6061,-0.0146,534.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D367,D367,0.3014,0.5286,-0.0174,508.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D368,D368,0.3081,0.4927,-0.028,534.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D369,D369,0.3471,0.8544,-0.0165,533.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D370,D370,0.3547,0.7169,-0.0149,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D371,D371,0.2183,1.4423,-0.0151,419.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D372,D372,0.2584,0.9506,-0.0145,496.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D373,D373,0.2333,0.8966,-0.0182,576.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D374,D374,0.2526,1.1149,-0.0177,579.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D378,D378,0.2814,0.5739,-0.0103,371.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D379,D379,0.1848,0.5337,-0.0136,434.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D380,D380,0.3637,0.7145,-0.0254,341.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D381,D381,0.2302,0.5626,-0.0175,342.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D382,D382,0.3083,0.5518,-0.0177,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D383,D383,0.2738,0.4557,-0.0237,273.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D387,D387,0.3679,0.3907,-0.0158,472.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D388,D388,0.4106,0.4512,-0.0171,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D389,D389,0.4332,0.3955,-0.0137,552.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D390,D390,0.4405,0.4323,-0.0226,553.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D391,D391,0.3959,0.4547,-0.0123,596.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D392,D392,0.3439,0.4561,-0.0161,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D393,D393,0.4086,0.3046,-0.0213,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D394,D394,0.3086,0.4633,-0.017,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D395,D395,0.3815,0.4008,-0.0161,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D396,D396,0.3568,0.5756,-0.0246,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D397,D397,0.3974,0.4531,-0.0156,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D398,D398,0.4133,0.448,-0.0189,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D405,D405,0.4343,0.321,-0.0145,600.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D406,D406,0.3362,0.3442,-0.0135,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D407,D407,0.4454,0.4482,-0.0157,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D408,D408,0.3438,0.4878,-0.0108,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D409,D409,0.4352,0.2874,-0.0205,567.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D410,D410,0.3629,0.3077,-0.0112,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D411,D411,0.2686,0.5962,-0.0094,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D412,D412,0.3138,0.6198,-0.0152,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D413,D413,0.337,0.5214,-0.013,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D414,D414,0.4103,0.5127,-0.0122,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D415,D415,0.426,0.6339,-0.0139,600.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D416,D416,0.1961,0.9622,-0.0196,353.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D417,D417,0.123,0.81,-0.0169,370.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D418,D418,0.3901,1.0721,-0.0118,518.0,2.0,68.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D419,D419,0.273,0.9748,-0.0143,466.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D420,D420,0.3708,0.898,-0.0122,386.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D421,D421,0.3163,0.6176,-0.0143,300.0,1.0,66.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D422,D422,0.2971,0.5674,-0.0139,300.0,1.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D423,D423,0.0466,1.724,-0.1021,300.0,1.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D424,D424,0.2694,0.6352,-0.0126,300.0,1.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D425,D425,0.2485,0.699,-0.0121,300.0,1.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D426,D426,0.3334,0.868,-0.0123,600.0,2.0,84.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D427,D427,0.4115,0.7246,-0.0144,600.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D428,D428,0.4162,0.724,-0.0216,515.0,2.0,87.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D429,D429,0.3641,0.6017,-0.0136,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D430,D430,0.5488,0.4263,-0.0159,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D431,D431,0.3617,0.5725,-0.016,600.0,2.0,91.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D432,D432,0.3554,0.5071,-0.0075,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D433,D433,0.4307,0.5664,-0.0148,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D434,D434,0.3504,0.5504,-0.0154,482.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D435,D435,0.3923,0.3876,-0.0126,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D436,D436,0.3843,0.4752,-0.0162,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D439,D439,0.4204,0.669,-0.0139,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D440,D440,0.3199,0.4899,-0.0103,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D441,D441,0.3915,0.4154,-0.013,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D442,D442,0.4288,0.5161,-0.0126,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D443,D443,0.3848,0.4644,-0.0168,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D445,D445,0.4356,0.3963,-0.0192,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D446,D446,0.4032,0.43,-0.0134,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D447,D447,0.6929,0.5478,-0.0165,600.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D448,D448,0.491,0.4445,-0.0199,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D449,D449,0.3375,0.479,-0.015,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D450,D450,0.3902,0.4733,-0.0135,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D451,D451,0.3451,0.5327,-0.0181,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D452,D452,0.3575,0.3996,-0.0139,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D453,D453,0.4833,0.3479,-0.0168,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D454,D454,0.3726,0.3902,-0.0128,300.0,1.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D455,D455,0.4401,0.5855,-0.013,466.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D456,D456,0.4618,0.4288,-0.0121,600.0,2.0,80.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D457,D457,0.5278,0.338,-0.0142,600.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D458,D458,0.4291,0.2549,-0.017,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
CellOT,ot,C2_soskic_LODO_D459,D459,0.5859,0.4086,-0.0203,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,False
